460,510,600,320,3,0:50:00
590,655,770,410,2,1:03:00
755,835,985,525,2,1:18:00
965,1070,1260,670,2,1:35:30
1235,1370,1610,860,2,1:55:50
1580,1750,2060,1100,2,2:19:20
2025,2245,2640,1405,2,2:46:40
2590,2870,3380,1800,2,3:18:20
3315,3675,4325,2305,2,3:55:10
4245,4705,5535,2950,2,4:37:40
5430,6020,7085,3780,3,5:27:10
6950,7705,9065,4835,3,6:24:30
8900,9865,11605,6190,3,7:31:00
11390,12625,14855,7925,3,8:48:10
14580,16165,19015,10140,3,10:17:40
18660,20690,24340,12980,3,12:01:30
23885,26480,31155,16615,3,14:02:00
30570,33895,39875,21270,3,16:21:40
39130,43385,51040,27225,3,19:03:50
50090,55535,65335,34845,3,22:11:50
