80,70,120,70,4,0:30:00
100,90,155,90,2,0:39:50
130,115,195,115,2,0:51:10
170,145,250,145,2,1:04:20
215,190,320,190,2,1:19:40
275,240,410,240,3,1:37:20
350,310,530,310,3,1:58:00
450,395,675,395,3,2:21:50
575,505,865,505,3,2:49:30
740,645,1105,645,3,3:21:40
945,825,1415,825,3,3:59:00
1210,1060,1815,1060,3,4:42:10
1545,1355,2320,1355,3,5:32:20
1980,1735,2970,1735,3,6:30:30
2535,2220,3805,2220,3,7:38:00
3245,2840,4870,2840,4,8:56:20
4155,3635,6230,3635,4,10:27:00
5315,4650,7975,4650,4,12:12:20
6805,5955,10210,5955,4,14:14:30
8710,7620,13065,7620,4,16:36:20
