780,420,660,300,5,0:36:40
1000,540,845,385,3,0:47:30
1280,690,1080,490,3,1:00:10
1635,880,1385,630,3,1:14:50
2095,1125,1770,805,3,1:31:40
2680,1445,2270,1030,3,1:51:20
3430,1845,2905,1320,3,2:14:10
4390,2365,3715,1690,3,2:40:40
5620,3025,4755,2160,3,3:11:20
7195,3875,6085,2765,3,3:47:00
9210,4960,7790,3540,4,4:28:20
11785,6345,9975,4535,4,5:16:20
15085,8125,12765,5805,4,6:11:50
19310,10400,16340,7430,4,7:16:20
24720,13310,20915,9505,4,8:31:10
31640,17035,26775,12170,4,9:58:00
40500,21810,34270,15575,4,11:38:40
51840,27915,43865,19940,4,13:35:30
66355,35730,56145,25520,4,15:51:00
84935,45735,71870,32665,4,18:28:10
