100,80,30,60,3,0:07:30
165,135,50,100,2,0:15:20
280,225,85,165,2,0:27:50
465,375,140,280,2,0:48:00
780,620,235,465,2,1:20:00
1300,1040,390,780,2,2:11:20
2170,1735,650,1300,2,3:33:30
3625,2900,1085,2175,2,5:44:50
6050,4840,1815,3630,2,9:15:10
10105,8080,3030,6060,2,14:51:40
16870,13500,5060,10125,3,23:50:00
28175,22540,8455,16905,3,38:11:10
47055,37645,14115,28230,3,61:09:20
78580,62865,23575,47150,3,97:54:10
131230,104985,39370,78740,3,156:42:00
219155,175320,65745,131490,3,250:46:30
365985,292790,109795,219590,3,401:17:40
611195,488955,183360,366715,3,642:07:40
1020695,816555,306210,612420,3,1027:27:30
1704565,1363650,511370,1022740,3,1643:59:30
