210,140,260,120,4,0:33:20
270,180,335,155,2,0:43:40
345,230,425,195,2,0:55:40
440,295,545,250,2,1:09:30
565,375,700,320,2,1:25:40
720,480,895,410,3,1:44:20
925,615,1145,530,3,2:06:10
1180,790,1465,675,3,2:31:20
1515,1010,1875,865,3,3:00:30
1935,1290,2400,1105,3,3:34:20
2480,1655,3070,1415,3,4:13:40
3175,2115,3930,1815,3,4:59:10
4060,2710,5030,2320,3,5:52:10
5200,3465,6435,2970,3,6:53:30
6655,4435,8240,3805,3,8:04:40
8520,5680,10545,4870,4,9:27:10
10905,7270,13500,6230,4,11:02:50
13955,9305,17280,7975,4,12:54:00
17865,11910,22120,10210,4,15:02:50
22865,15245,28310,13065,4,17:32:10
