80,120,70,90,4,0:33:20
100,155,90,115,2,0:38:40
130,195,115,145,2,0:44:50
170,250,145,190,2,0:52:00
215,320,190,240,2,1:00:20
275,410,240,310,3,1:10:00
350,530,310,395,3,1:21:10
450,675,395,505,3,1:34:10
575,865,505,650,3,1:49:20
740,1105,645,830,3,2:06:50
945,1415,825,1065,3,2:27:00
1210,1815,1060,1360,3,2:50:30
1545,2320,1355,1740,3,3:17:50
1980,2970,1735,2230,3,3:49:30
2535,3805,2220,2850,3,4:26:20
3245,4870,2840,3650,4,5:08:50
4155,6230,3635,4675,4,5:58:20
5315,7975,4650,5980,4,6:55:40
6805,10210,5955,7655,4,8:02:10
8710,13065,7620,9800,4,9:19:10
