580,460,350,180,1,0:33:20
740,590,450,230,1,0:43:40
950,755,575,295,1,0:55:40
1215,965,735,375,1,1:09:30
1555,1235,940,485,1,1:25:40
1995,1580,1205,620,1,1:44:20
2550,2025,1540,790,1,2:06:10
3265,2590,1970,1015,1,2:31:20
4180,3315,2520,1295,1,3:00:30
5350,4245,3230,1660,1,3:34:20
6845,5430,4130,2125,2,4:13:40
8765,6950,5290,2720,2,4:59:10
11220,8900,6770,3480,2,5:52:10
14360,11390,8665,4455,2,6:53:30
18380,14580,11090,5705,2,8:04:40
23530,18660,14200,7300,2,9:27:10
30115,23885,18175,9345,2,11:02:50
38550,30570,23260,11965,2,12:54:00
49340,39130,29775,15315,2,15:02:50
63155,50090,38110,19600,2,17:32:10
