650,800,450,200,1,2:30:00
830,1025,575,255,1,2:59:00
1065,1310,735,330,1,3:32:40
1365,1680,945,420,1,4:11:40
1745,2145,1210,535,1,4:57:00
2235,2750,1545,685,1,5:49:30
2860,3520,1980,880,1,6:50:20
3660,4505,2535,1125,1,8:01:00
4685,5765,3245,1440,1,9:23:00
5995,7380,4150,1845,1,10:58:00
7675,9445,5315,2360,2,12:48:20
9825,12090,6800,3020,2,14:56:20
12575,15475,8705,3870,2,17:24:40
16095,19805,11140,4950,2,20:16:50
20600,25355,14260,6340,2,23:36:30
26365,32450,18255,8115,2,27:28:10
33750,41540,23365,10385,2,31:56:50
43200,53170,29910,13290,2,37:08:30
55295,68055,38280,17015,2,43:10:00
70780,87110,49000,21780,2,50:09:30
