70,90,70,20,0,0:02:30
115,150,115,35,0,0:07:20
195,250,195,55,0,0:15:00
325,420,325,95,0,0:27:30
545,700,545,155,0,0:47:10
910,1170,910,260,1,1:18:50
1520,1950,1520,435,1,2:09:40
2535,3260,2535,725,1,3:30:40
4235,5445,4235,1210,1,5:40:30
7070,9095,7070,2020,1,9:08:00
11810,15185,11810,3375,1,14:40:10
19725,25360,19725,5635,1,23:31:40
32940,42350,32940,9410,1,37:41:50
55005,70720,55005,15715,1,60:22:20
91860,118105,91860,26245,1,96:39:10
153405,197240,153405,43830,2,154:41:50
256190,329385,256190,73195,2,247:34:20
427835,550075,427835,122240,2,396:10:10
714485,918625,714485,204140,2,633:55:40
1193195,1534105,1193195,340915,2,1014:20:30
1992635,2561960,1992635,569325,2,1623:00:10
