1750,2250,1530,240,1,0:58:20
2240,2880,1960,305,1,1:12:40
2865,3685,2505,395,1,1:29:20
3670,4720,3210,505,1,1:48:30
4700,6040,4105,645,1,2:11:00
6015,7730,5255,825,1,2:36:50
7695,9895,6730,1055,1,3:07:00
9850,12665,8615,1350,1,3:42:00
12610,16215,11025,1730,1,4:22:30
16140,20755,14110,2215,1,5:09:30
20660,26565,18065,2835,2,6:04:00
26445,34000,23120,3625,2,7:07:10
33850,43520,29595,4640,2,8:20:30
43330,55705,37880,5940,2,9:45:40
55460,71305,48490,7605,2,11:24:20
70990,91270,62065,9735,2,13:18:50
90865,116825,79440,12460,2,15:31:40
116305,149540,101685,15950,2,18:05:40
148875,191410,130160,20415,2,21:04:20
190560,245005,166600,26135,2,24:31:40
