130,160,90,40,1,0:33:20
165,205,115,50,1,0:43:40
215,260,145,65,1,0:55:40
275,335,190,85,1,1:09:30
350,430,240,105,1,1:25:40
445,550,310,135,1,1:44:20
570,705,395,175,1,2:06:10
730,900,505,225,1,2:31:20
935,1155,650,290,1,3:00:30
1200,1475,830,370,1,3:34:20
1535,1890,1065,470,2,4:13:40
1965,2420,1360,605,2,4:59:10
2515,3095,1740,775,2,5:52:10
3220,3960,2230,990,2,6:53:30
4120,5070,2850,1270,2,8:04:40
5275,6490,3650,1625,2,9:27:10
6750,8310,4675,2075,2,11:02:50
8640,10635,5980,2660,2,12:54:00
11060,13610,7655,3405,2,15:02:50
14155,17420,9800,4355,2,17:32:10
