120,200,0,80,0,0:33:20
155,255,0,100,0,0:43:40
195,330,0,130,0,0:55:40
250,420,0,170,0,1:09:30
320,535,0,215,0,1:25:40
410,685,0,275,1,1:44:20
530,880,0,350,1,2:06:10
675,1125,0,450,1,2:31:20
865,1440,0,575,1,3:00:30
1105,1845,0,740,1,3:34:20
1415,2360,0,945,1,4:13:40
1815,3020,0,1210,1,4:59:10
2320,3870,0,1545,1,5:52:10
2970,4950,0,1980,1,6:53:30
3805,6340,0,2535,1,8:04:40
4870,8115,0,3245,2,9:27:10
6230,10385,0,4155,2,11:02:50
7975,13290,0,5315,2,12:54:00
10210,17015,0,6805,2,15:02:50
13065,21780,0,8710,2,17:32:10
