260,140,220,100,5,0:36:40
335,180,280,130,3,0:47:30
425,230,360,165,3,1:00:10
545,295,460,210,3,1:14:50
700,375,590,270,3,1:31:40
895,480,755,345,3,1:51:20
1145,615,970,440,3,2:14:10
1465,790,1240,565,3,2:40:40
1875,1010,1585,720,3,3:11:20
2400,1290,2030,920,3,3:47:00
3070,1655,2595,1180,4,4:28:20
3930,2115,3325,1510,4,5:16:20
5030,2710,4255,1935,4,6:11:50
6435,3465,5445,2475,4,7:16:20
8240,4435,6970,3170,4,8:31:10
10545,5680,8925,4055,4,9:58:00
13500,7270,11425,5190,4,11:38:40
17280,9305,14620,6645,4,13:35:30
22120,11910,18715,8505,4,15:51:00
28310,15245,23955,10890,4,18:28:10
