1250,1110,1260,600,4,3:28:20
1600,1420,1615,770,2,4:06:40
2050,1820,2065,985,2,4:51:10
2620,2330,2640,1260,2,5:42:40
3355,2980,3380,1610,2,6:42:30
4295,3815,4330,2060,3,7:52:00
5500,4880,5540,2640,3,9:12:30
7035,6250,7095,3380,3,10:45:50
9005,8000,9080,4325,3,12:34:10
11530,10240,11620,5535,3,14:39:50
14755,13105,14875,7085,3,17:05:40
18890,16775,19040,9065,3,19:54:50
24180,21470,24370,11605,3,23:11:00
30950,27480,31195,14855,3,26:58:30
39615,35175,39930,19015,3,31:22:30
50705,45025,51110,24340,4,36:28:40
64905,57635,65425,31155,4,42:23:50
83075,73770,83740,39875,4,49:15:50
106340,94430,107190,51040,4,57:13:40
136115,120870,137200,65335,4,66:28:10
