1400,1330,1200,400,3,0:50:00
1790,1700,1535,510,2,1:03:00
2295,2180,1965,655,2,1:18:00
2935,2790,2515,840,2,1:35:30
3760,3570,3220,1075,2,1:55:50
4810,4570,4125,1375,2,2:19:20
6155,5850,5280,1760,2,2:46:40
7880,7485,6755,2250,2,3:18:20
10090,9585,8645,2880,2,3:55:10
12915,12265,11070,3690,2,4:37:40
16530,15700,14165,4720,3,5:27:10
21155,20100,18135,6045,3,6:24:30
27080,25725,23210,7735,3,7:31:00
34660,32930,29710,9905,3,8:48:10
44370,42150,38030,12675,3,10:17:40
56790,53950,48680,16225,3,12:01:30
72690,69060,62310,20770,3,14:02:00
93045,88395,79755,26585,3,16:21:40
119100,113145,102085,34030,3,19:03:50
152445,144825,130670,43555,3,22:11:50
