155,130,125,70,2,0:36:40
200,165,160,90,1,0:52:30
255,215,205,115,1,1:11:00
325,275,260,145,1,1:32:20
415,350,335,190,1,1:57:00
535,445,430,240,2,2:25:50
680,570,550,310,2,2:59:10
875,730,705,395,2,3:37:50
1115,935,900,505,2,4:22:40
1430,1200,1155,645,2,5:14:40
1830,1535,1475,825,2,6:15:00
2340,1965,1890,1060,2,7:25:00
3000,2515,2420,1355,2,8:46:10
3840,3220,3095,1735,2,10:20:20
4910,4120,3960,2220,2,12:09:40
6290,5275,5070,2840,3,14:16:20
8050,6750,6490,3635,3,16:43:20
10300,8640,8310,4650,3,19:33:50
13185,11060,10635,5955,3,22:51:40
16880,14155,13610,7620,3,26:41:10
