160,100,80,60,0,0:33:20
205,130,100,75,0,0:43:40
260,165,130,100,0,0:55:40
335,210,170,125,0,1:09:30
430,270,215,160,0,1:25:40
550,345,275,205,1,1:44:20
705,440,350,265,1,2:06:10
900,565,450,340,1,2:31:20
1155,720,575,430,1,3:00:30
1475,920,740,555,1,3:34:20
1890,1180,945,710,1,4:13:40
2420,1510,1210,905,1,4:59:10
3095,1935,1545,1160,1,5:52:10
3960,2475,1980,1485,1,6:53:30
5070,3170,2535,1900,1,8:04:40
6490,4055,3245,2435,2,9:27:10
8310,5190,4155,3115,2,11:02:50
10635,6645,5315,3990,2,12:54:00
13610,8505,6805,5105,2,15:02:50
17420,10890,8710,6535,2,17:32:10
