80,40,80,50,2,0:03:40
135,65,135,85,1,0:09:10
225,110,225,140,1,0:18:00
375,185,375,235,1,0:32:10
620,310,620,390,1,0:54:50
1040,520,1040,650,2,1:31:10
1735,870,1735,1085,2,2:29:10
2900,1450,2900,1810,2,4:02:00
4840,2420,4840,3025,2,6:30:30
8080,4040,8080,5050,2,10:28:10
13500,6750,13500,8435,2,16:48:30
22540,11270,22540,14090,2,26:56:50
37645,18820,37645,23525,2,43:10:20
62865,31430,62865,39290,2,69:07:50
104985,52490,104985,65615,2,110:39:50
175320,87660,175320,109575,3,177:07:00
292790,146395,292790,182995,3,283:26:30
488955,244480,488955,305600,3,453:33:40
816555,408280,816555,510350,3,725:45:10
1363650,681825,1363650,852280,3,1161:15:40
2277295,1138650,2277295,1423310,3,1858:04:20
