80,100,70,20,1,0:26:40
100,130,90,25,1,0:36:00
130,165,115,35,1,0:46:40
170,210,145,40,1,0:59:10
215,270,190,55,1,1:13:40
275,345,240,70,1,1:30:20
350,440,310,90,1,1:49:50
450,565,395,115,1,2:12:30
575,720,505,145,1,2:38:40
740,920,645,185,1,3:09:00
945,1180,825,235,2,3:44:10
1210,1510,1060,300,2,4:25:10
1545,1935,1355,385,2,5:12:30
1980,2475,1735,495,2,6:07:30
2535,3170,2220,635,2,7:11:20
3245,4055,2840,810,2,8:25:20
4155,5190,3635,1040,2,9:51:10
5315,6645,4650,1330,2,11:30:50
6805,8505,5955,1700,2,13:26:20
8710,10890,7620,2180,2,15:40:20
