2880,2740,2580,990,4,2:13:20
3630,3450,3250,1245,2,2:39:40
4570,4350,4095,1570,2,3:10:10
5760,5480,5160,1980,2,3:45:40
7260,6905,6505,2495,2,4:26:50
9145,8700,8195,3145,3,5:14:30
11525,10965,10325,3960,3,6:09:40
14520,13815,13010,4990,3,7:13:50
18295,17405,16390,6290,3,8:28:20
23055,21930,20650,7925,3,9:54:40
29045,27635,26020,9985,3,11:34:50
36600,34820,32785,12580,3,13:31:00
46115,43875,41310,15850,3,15:45:40
58105,55280,52050,19975,3,18:22:00
73210,69655,65585,25165,3,21:23:20
92245,87760,82640,31710,4,24:53:40
116230,110580,104125,39955,4,28:57:40
146450,139330,131195,50340,4,33:40:40
184530,175560,165305,63430,4,39:09:00
232505,221205,208285,79925,4,45:29:50
