400,500,350,100,1,1:56:40
510,640,450,130,1,2:20:20
655,820,575,165,1,2:47:50
840,1050,735,210,1,3:19:40
1075,1340,940,270,1,3:56:30
1375,1720,1205,345,1,4:39:30
1760,2200,1540,440,1,5:29:10
2250,2815,1970,565,1,6:26:50
2880,3605,2520,720,1,7:33:40
3690,4610,3230,920,1,8:51:20
4720,5905,4130,1180,2,10:21:20
6045,7555,5290,1510,2,12:05:40
7735,9670,6770,1935,2,14:06:50
9905,12380,8665,2475,2,16:27:20
12675,15845,11090,3170,2,19:10:10
16225,20280,14200,4055,2,22:19:20
20770,25960,18175,5190,2,25:58:30
26585,33230,23260,6645,2,30:13:00
34030,42535,29775,8505,2,35:08:00
43555,54445,38110,10890,2,40:50:20
